Zm00001eb000650	Transducin/WD40 repeat-like superfamily protein/Transducin/WD40 repeat-like superfamily protein/E3 ubiquitin-protein ligase RFWD3/RING-type domain-containing protein/
Zm00001eb009570	Putative inactive poly [ADP-ribose] polymerase SRO1/Putative inactive poly [ADP-ribose] polymerase SRO1/Putative inactive poly [ADP-ribose] polymerase SRO2/
Zm00001eb009630	Transcription factor bHLH18/Transcription factor bHLH18/Transcription factor bHLH25/
Zm00001eb009640	Leucine-rich repeat receptor-like serine/threonine-protein kinase BAM3/Leucine-rich repeat receptor-like serine/threonine-protein kinase BAM3/Leucine-rich repeat receptor-like serine/threonine-protein kinase BAM2/Protein kinase domain-containing protein/
Zm00001eb009660	Putative receptor-like serine/threonine-protein kinase/Putative receptor-like serine/threonine-protein kinase/Protein kinase domain-containing protein/
Zm00001eb009670	ATP-dependent DNA helicase (EC 3.6.4.12)/ATP-dependent DNA helicase (EC 3.6.4.12)/Uncharacterized protein/Uncharacterized protein (Fragment)/DUF223 domain-containing protein/Replication protein A DNA-binding subunit B/Signal recognition particle protein 2/Tubulin beta-3 chain/Eukaryotic translation initiation factor 3 subunit J (eIF3j)/Retrotransposon protein/
Zm00001eb009850	Proline-rich receptor-like protein kinase PERK4/Proline-rich receptor-like protein kinase PERK4/Proline-rich receptor-like protein kinase PERK5/Protein kinase domain-containing protein/Uncharacterized protein/
Zm00001eb009890	Putative metal tolerance protein C3/Putative metal tolerance protein C3/Metal tolerance protein 4/
Zm00001eb009980	Protein NRT1/ PTR FAMILY 8.3/Protein NRT1/ PTR FAMILY 8.3/Uncharacterized protein/Peptide transporter PTR2/
Zm00001eb009990	Protein NRT1/ PTR FAMILY 8.3/Protein NRT1/ PTR FAMILY 8.3/Protein NRT1/ PTR FAMILY 8.3 (Fragment)/Uncharacterized protein/
Zm00001eb010040	NAD(P)-linked oxidoreductase superfamily protein/NAD(P)-linked oxidoreductase superfamily protein/Putative NAD(P)H-dependent oxidoreductase 1/Deoxymugineic acid synthase 1 (ZmDMAS1) (EC 1.1.1.285)/Aldose reductase (Fragment)/
Zm00001eb010100	Cyclin-J18/Cyclin-J18/Cyclin-J18-like/
Zm00001eb010110	Type IV inositol polyphosphate 5-phosphatase 9/Type IV inositol polyphosphate 5-phosphatase 9/Uncharacterized protein/Type I inositol-1,4,5-trisphosphate 5-phosphatase CVP2 (Type IV inositol polyphosphate 5-phosphatase 9)/
Zm00001eb010140	Purple acid phosphatase (EC 3.1.3.2)/Purple acid phosphatase (EC 3.1.3.2)/Acid phosphatase (EC 3.1.3.2)/
Zm00001eb010280	TSL-kinase interacting protein 1/TSL-kinase interacting protein 1/Uncharacterized protein/
Zm00001eb010290	Ras-related protein RABG3a/Ras-related protein RABG3a/Ras-related protein Rab7/Ras-related protein Rab7 (Fragment)/
Zm00001eb010300	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein/Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein/Ribonucloprotein/
Zm00001eb010370	26S proteasome non-ATPase regulatory subunit 4/26S proteasome non-ATPase regulatory subunit 4/Actin depolymerizing factor5 (Actin-depolymerizing factor 5)/Actin-depolymerizing factor 5/
Zm00001eb010380	UDP-N-acetylglucosamine diphosphorylase 2/UDP-N-acetylglucosamine diphosphorylase 2/Uncharacterized protein/
Zm00001eb010410	Acyl-CoA-binding domain-containing protein 3/Acyl-CoA-binding domain-containing protein 3/Anti-sigma-I factor RsgI6/Uncharacterized protein/
Zm00001eb010450	Pathogenesis-related thaumatin superfamily protein/Pathogenesis-related thaumatin superfamily protein/Thaumatin-like protein 1/Pathogenesis-related thaumatin superfamily protein (Thaumatin-like protein 1)/
Zm00001eb010460	Auxin transporter-like protein 3/Auxin transporter-like protein 3/Auxin transporter-like protein 2/
Zm00001eb010540	Chaperonin 60 subunit beta 4 chloroplastic/Chaperonin 60 subunit beta 4 chloroplastic/ RuBisCo subunit binding-protein beta subunit (Fragment)/
Zm00001eb010700	40S ribosomal protein S20-1/40S ribosomal protein S20-1/40S ribosomal protein S20 (S22) (Fragment)/40S ribosomal protein S20/UDP-glucuronate 4-epimerase 2/
Zm00001eb010790	V-type proton ATPase subunit a/V-type proton ATPase subunit a/Uncharacterized protein/
Zm00001eb010860	Long chain base biosynthesis protein 1/Long chain base biosynthesis protein 1/Long chain base biosynthesis protein 1a/
Zm00001eb010990	Disease resistance protein RPS5/Disease resistance protein RPS5/Disease resistance protein/Disease resistance protein RPS2/
Zm00001eb011050	Beta-galactosidase (EC 3.2.1.23)/Beta-galactosidase (EC 3.2.1.23)/Beta-galactosidase/
Zm00001eb011060	Protein CHAPERONE-LIKE PROTEIN OF POR1 chloroplastic/Protein CHAPERONE-LIKE PROTEIN OF POR1 chloroplastic/Uncharacterized protein/
Zm00001eb011080	Phosphoenolpyruvate carboxykinase (ATP) (EC 4.1.1.49)/Phosphoenolpyruvate carboxykinase (ATP) (EC 4.1.1.49)/Phosphoenolpyruvate carboxykinase (ATP) (PEP carboxykinase) (PEPCK) (EC 4.1.1.49)/
Zm00001eb011150	Rho GTPase activation protein (RhoGAP) with PH domain/Rho GTPase activation protein (RhoGAP) with PH domain/Imidazole glycerol phosphate synthase hisHF [Includes: Glutaminase (EC 3.5.1.2); Cyclase]/Imidazole glycerol phosphate synthase hisHF chloroplastic/Imidazole glycerol phosphate synthase hisHF, chloroplastic/Uncharacterized protein/
Zm00001eb011160	Rho GTPase activation protein (RhoGAP) with PH domain/Rho GTPase activation protein (RhoGAP) with PH domain/Rho GTPase-activating protein REN1/
Zm00001eb011200	LYR motif-containing protein 4/LYR motif-containing protein 4/Catalytic/ oxidoreductase, acting on NADH or NADPH/
Zm00001eb011210	Regulator of Vps4 activity in the MVB pathway protein/Regulator of Vps4 activity in the MVB pathway protein/Uncharacterized protein/
Zm00001eb011270	Glyoxal oxidase/Glyoxal oxidase/Aldehyde oxidase GLOX/
Zm00001eb011370	BHLH transcription factor (Fragment)/BHLH transcription factor (Fragment)/Transcription factor AIG1/Transcription factor bHLH30/
Zm00001eb011420	J domain-containing protein/J domain-containing protein/Chaperone DnaJ-domain superfamily protein (DnaJ subfamily C member 8)/
Zm00001eb011470	PYM protein/PYM protein/Partner of Y14 and mago/Partner of Y14 and mago A/
Zm00001eb011520	ELMO domain-containing protein 2, mRNA/
Zm00001eb011530	LEA_2 domain-containing protein/LEA_2 domain-containing protein/Harpin-induced protein (Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family)/
Zm00001eb011560	GRAS transcription factor (Scarecrow-like protein 26) (Fragment)/GRAS transcription factor (Scarecrow-like protein 26) (Fragment)/Nodulation-signaling pathway 2 protein/
Zm00001eb011580	Mitochondrial phosphate carrier protein 3 mitochondrial/Mitochondrial phosphate carrier protein 3 mitochondrial/Mitochondrial phosphate carrier protein 3, mitochondrial/Uncharacterized protein/
Zm00001eb011600	Uncharacterized protein/Uncharacterized protein/Putative pentatricopeptide repeat-containing protein mitochondrial/Mitotic checkpoint protein BUB3.1/
Zm00001eb011610	Uncharacterized protein/Uncharacterized protein/Glycine-rich protein/
Zm00001eb011620	Putative BOI-related E3 ubiquitin-protein ligase 3/Putative BOI-related E3 ubiquitin-protein ligase 3/CONSTANS interacting protein 4/
Zm00001eb011650	Protein kinase superfamily protein/Protein kinase superfamily protein/Putative LRR receptor-like serine/threonine-protein kinase/
Zm00001eb011760	Peroxisomal nicotinamide adenine dinucleotide carrier/Peroxisomal nicotinamide adenine dinucleotide carrier/50S ribosomal protein L4, chloroplastic/Uncharacterized protein/50S ribosomal protein L4/
Zm00001eb011780	Coronatine-insensitive 2/Coronatine-insensitive 2/Coronatine-insensitive protein 1/
Zm00001eb011810	Transmembrane protein/Transmembrane protein/Uncharacterized protein/
Zm00001eb011820	Maternal effect embryo arrest 59/Maternal effect embryo arrest 59/Uncharacterized protein/
Zm00001eb011850	EIN3-binding F-box protein 1/EIN3-binding F-box protein 1/Uncharacterized protein/
Zm00001eb011870	Uncharacterized protein/Uncharacterized protein/Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)/
Zm00001eb011920	LRR receptor-like serine/threonine-protein kinase FEI 1/LRR receptor-like serine/threonine-protein kinase FEI 1/Protein kinase domain-containing protein/
Zm00001eb011970	Protein DA1-related 2/Protein DA1-related 2/LIM zinc-binding domain-containing protein/
Zm00001eb011980	Serine/threonine-protein phosphatase (EC 3.1.3.16)/Serine/threonine-protein phosphatase (EC 3.1.3.16)/Serine/threonine-protein phosphatase/
Zm00001eb011990	Myosin heavy chain-related/Myosin heavy chain-related/T-snare/
Zm00001eb012020	Mannose-1-phosphate guanylyltransferase 1/Mannose-1-phosphate guanylyltransferase 1/Putative mannose-1-phosphate guanylyltransferase 1/
Zm00001eb012100	Splicing factor PWI domain-containing protein/Splicing factor PWI domain-containing protein/Uncharacterized protein/PWI domain-containing protein C825.05c/
Zm00001eb012150	Pentatricopeptide repeat-containing protein/Pentatricopeptide repeat-containing protein/Pentatricopeptide repeat protein PPR868-14/
Zm00001eb012210	Uncharacterized protein/Uncharacterized protein/Putative tRNA (Guanine(26)-N(2))-dimethyltransferase 1/
Zm00001eb012220	tRNA (guanine(26)-N(2))-dimethyltransferase (EC 2.1.1.216)/tRNA (guanine(26)-N(2))-dimethyltransferase (EC 2.1.1.216)/Putative tRNA (Guanine(26)-N(2))-dimethyltransferase 2 (Fragment)/tRNA (guanine(26)-N(2))-dimethyltransferase (EC 2.1.1.216) (Fragment)/Putative tRNA (Guanine(26)-N(2))-dimethyltransferase 2/Uncharacterized protein/
Zm00001eb012280	GRAS transcription factor (Fragment)/GRAS transcription factor (Fragment)/Uncharacterized protein/Scarecrow-like protein 9/
Zm00001eb012300	Pleckstrin homology (PH) domain superfamily protein (Fragment)/Pleckstrin homology (PH) domain superfamily protein (Fragment)/Pleckstrin homology (PH) domain superfamily protein/Oxysterol-binding protein-related protein 3B/Oxysterol-binding protein-related protein 3C/Oxysterol-binding protein/
Zm00001eb012320	Callose synthase 11/Callose synthase 11/1,3-beta-glucan synthase (EC 2.4.1.34)/FKS1_dom1 domain-containing protein/
Zm00001eb012340	Putative serine/threonine-protein kinase PBL10/Putative serine/threonine-protein kinase PBL10/Protein kinase domain-containing protein/Protein kinase APK1A/Protein kinase APK1B/Protein kinase APK1A chloroplastic/
Zm00001eb012360	Uncharacterized protein/Uncharacterized protein/E3 ubiquitin-protein ligase XB3/Putative E3 ubiquitin-protein ligase XBAT31/RING-type domain-containing protein/
Zm00001eb012440	DOF30 transcription factor/DOF30 transcription factor/Dof zinc finger protein DOF3.6/
Zm00001eb012540	Uncharacterized protein/Uncharacterized protein/HSP20-like chaperones superfamily protein (SLT1 protein)/SLT1 protein/
Zm00001eb012550	Uncharacterized protein YsfE/Uncharacterized protein YsfE/Glyoxalase family protein superfamily/
Zm00001eb012590	Trifunctional UDP-glucose 46-dehydratase/UDP-4-keto-6-deoxy-D-glucose 35-epimerase/UDP-4-keto-L-rhamnose-reductase RHM2/Trifunctional UDP-glucose 46-dehydratase/UDP-4-keto-6-deoxy-D-glucose 35-epimerase/UDP-4-keto-L-rhamnose-reductase RHM2/Uncharacterized protein/
Zm00001eb012600	THO complex subunit 4B/THO complex subunit 4B/THO complex subunit 4A (Fragment)/THO complex subunit 4A/THO complex subunit 4 (THO complex subunit 4B)/THO complex subunit 4/RRM domain-containing protein/
Zm00001eb012610	DNA binding protein/DNA binding protein/Uncharacterized protein/Putative ADP-ribosylation factor GTPase-activating protein AGD6/
Zm00001eb012650	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain/Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain/Increased DNA methylation 1/Uncharacterized protein/N-acetyltransferase domain-containing protein/
Zm00001eb012660	Glycine-rich RNA-binding protein 6, mitochondrial/
Zm00001eb012710	Nitric oxide synthase-interacting protein/Nitric oxide synthase-interacting protein/Phosphoinositide binding/Nitric oxide synthase interacting protein/
Zm00001eb012740	Kinesin-like protein KIN-5B/Kinesin-like protein KIN-5B/Uncharacterized protein/
Zm00001eb012770	Ribosomal protein S18/Ribosomal protein S18/30S ribosomal protein S18, chloroplastic/Uncharacterized protein/
Zm00001eb012870	Protein SIEL/Protein SIEL/Uncharacterized protein (Fragment)/Uncharacterized protein/Ferredoxin--NADP reductase, chloroplastic/Pentatricopeptide repeat-containing protein/
Zm00001eb012930	Safener induced1/Safener induced1/Protein IN2-1/GST N-terminal domain-containing protein/
Zm00001eb012940	Ent-kaurenoic acid oxidase 1/Ent-kaurenoic acid oxidase 1/Ent-kaurenoic acid oxidase/DWARF3 (Fragment)/
Zm00001eb012950	Protein MODIFIER OF SNC1 11/Protein MODIFIER OF SNC1 11/Protein MODIFIER OF SNC1 11 (Fragment)/Tho1_MOS11_C domain-containing protein/Uncharacterized protein/
Zm00001eb012980	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase/CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase/CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase 2/Cardiolipin synthase (CMP-forming), mitochondrial/Uncharacterized protein/
Zm00001eb013020	50S ribosomal protein L10, chloroplastic/
Zm00001eb013040	DNA topoisomerase 6 subunit A (EC 5.6.2.2)/DNA topoisomerase 6 subunit A (EC 5.6.2.2)/Uncharacterized protein/
Zm00001eb013190	Protein disulfide isomerase9/Protein disulfide isomerase9/Protein disulfide isomerase-like 5-1/PDIL5-1-Zea mays protein disulfide isomerase/Protein disulfide isomerase/
Zm00001eb013220	AB hydrolase-1 domain-containing protein/AB hydrolase-1 domain-containing protein/Alpha/beta-Hydrolases superfamily protein/
Zm00001eb013230	RNA pseudouridine synthase 5/RNA pseudouridine synthase 5/PseudoU_synth_2 domain-containing protein/RNA binding protein/
Zm00001eb013240	Uncharacterized protein/Uncharacterized protein/Alpha-taxilin/Fatty acid desaturase8/Omega-3 fatty acid desaturase, chloroplastic/sn-2 acyl-lipid omega-3 desaturase (Ferredoxin), chloroplastic/Fatty acid desaturase/Fatty acid desaturase (Fragment)/
Zm00001eb013370	Rhodanese-like family protein/Rhodanese-like family protein/Phosphoinositide phospholipase C (EC 3.1.4.11)/
Zm00001eb013490	Ran-binding protein 1 homolog a/Ran-binding protein 1 homolog a/Ran-binding protein 1 c/Ran-binding protein 1/
Zm00001eb013540	Tetratricopeptide repeat (TPR)-like superfamily protein/Tetratricopeptide repeat (TPR)-like superfamily protein/Protein CHUP1, chloroplastic/Uncharacterized protein/
Zm00001eb013560	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family/Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family/Uncharacterized protein/Asparagine synthetase [glutamine-hydrolyzing]/
Zm00001eb013590	Myb_DNA-bind_4 domain-containing protein/Myb_DNA-bind_4 domain-containing protein/Trihelix transcription factor ASIL2/
Zm00001eb013610	Protein kinase superfamily protein/Protein kinase superfamily protein/Protein MALE DISCOVERER 2/Protein kinase domain-containing protein/ATP binding protein/
Zm00001eb013650	Serine/threonine-protein kinase STY46/Serine/threonine-protein kinase STY46/ATP binding protein/Protein kinase superfamily protein/
Zm00001eb013660	Thioredoxin superfamily protein/Thioredoxin superfamily protein/Gamma-interferon-inducible lysosomal thiol reductase/Uncharacterized protein/
Zm00001eb013690	Mitochondrial import inner membrane translocase subunit TIM22-1/Mitochondrial import inner membrane translocase subunit TIM22-1/Mitochondrial import inner membrane translocase subunit tim22/
Zm00001eb013700	Tetraspanin-18/Tetraspanin-18/Uncharacterized protein/
Zm00001eb013740	Uncharacterized protein/Uncharacterized protein/Cp protein/DUF538 family protein/
Zm00001eb013780	Abscisic acid receptor PYL5 (Pyrabactin resistance-like protein)/Abscisic acid receptor PYL5 (Pyrabactin resistance-like protein)/Abscisic acid receptor PYL4/
Zm00001eb013800	Meristematic receptor-like kinase/Meristematic receptor-like kinase/Putative leucine-rich repeat receptor-like protein kinase IMK3/
Zm00001eb013870	U2 small nuclear ribonucleoprotein B (Fragment)/U2 small nuclear ribonucleoprotein B (Fragment)/U2 small nuclear ribonucleoprotein B/Zinc finger (MYND type) family protein / programmed cell death 2 C-terminal domain-containing protein/Programmed cell death protein 2/
Zm00001eb013970	Zinc finger (MYND type) family protein / programmed cell death 2 C-terminal domain-containing protein/
Zm00001eb013980	Transducin family protein / WD-40 repeat family protein/Transducin family protein / WD-40 repeat family protein/Helicase protein MOM1/WD repeat-containing protein 43/Uncharacterized protein/
Zm00001eb014130	Exonuclease DPD1 chloroplastic/mitochondrial (Fragment)/Exonuclease DPD1 chloroplastic/mitochondrial (Fragment)/Exonuclease DPD1, chloroplastic/mitochondrial/Exonuclease domain-containing protein/DNA polymerase III subunit epsilon/Exonuclease DPD1 chloroplastic/mitochondrial/Uncharacterized protein/
Zm00001eb014160	p-loop nucleoside triphosphate hydrolase superfamily protein with CH (Calponin Homology) domain/p-loop nucleoside triphosphate hydrolase superfamily protein with CH (Calponin Homology) domain/Uncharacterized protein/Kinesin-like protein KIN-14F/
Zm00001eb014180	Peroxisomal membrane protein 11-3/Peroxisomal membrane protein 11-3/Peroxisomal biogenesis factor 11 family protein/
